Comment,VADER,HuggingFace
Well done us government,Positive,positive
How can you complain that you were in handcuffs? You knowingly committed a crime! The government respected you by allowing you a free trip back to India! They didn&#39;t say you can through Mexico now go back the way you came!,Very Positive,negative
India became the global humiliation after this.,Very Negative,negative
Good job modi friend trump❤❤❤❤ love from Bangladesh,Very Positive,positive
Don&#39;t cry u guy had a country. India..ask rohingya people they don&#39;t had citizenship..,Negative,negative
They treat us badly. They treat us like we enter county illegally. Oh wait we did.,Very Positive,negative
"There are no laws when it comes to migration. This has been going on since civilization. The rulers very well know why this is happening, but they won&#39;t tell you.",Neutral,negative
"50 ਲੱਖ ਇੱਕ ਡੋਂਕੀ ਦਾ <br>10000 ਡੋਂਕੀ ਫੇਲ ਹੋਈ<br>ਇਸ ਤੋਂ ਵੱਧ ਹੀ ਹੋਵੇਗੀ ।।<br>ਕਿੰਨਾ ਸਰਮਾਇਆ ਗਿਆ<br>5000 ਕਰੋੜ <br>ਗਿਆ ਪੰਜਾਬ ਤੋਂ ਬਾਹਰ<br>ਜੇ ਕੋਈ ਮਾੜੀ ਮੋਟੀ ਜਮੀਨ ਕੋਈ ਮਿਲਕੀਅਤ ਹੈ ਵੀ ਸੀ , ਉਹ ਵੀ ਜਾਂਦੀ ਰਹੀ।",Neutral,neutral
The cow lost,Negative,negative
Your entry was illegal.  What did you expect?  Try again the right way.,Very Negative,negative
Veet good i spite of begging work in india,Negative,positive
"Top Indian officials, ministers are playing with innocent Life.... hope USA returned get parent&#39;s belongings legally, jobs, ration cards and respect in the societies",Very Positive,negative
"Please understand,Those people didn&#39;t sent by bus or lorry. Amoung them maybe some possible unknown terrorist, someone deeply depressed with depoting. It is very easy to damage a flight when it is flying. World undetstand it. Many poor people cheated by mafia travel agents.",Very Negative,negative
Arrogent trump is not our friend anymore!,Negative,negative
Bet you won’t do it again,Neutral,negative
"Call the cuffs reciprocity for how you come here illegally… or if 1 of you comes legally with an education and a job, you bring 9 family members with you illegally who become a burden on our system. I’ve seen plenty of it as a visiting nurse. The arrogance towards me as a female by Indian sons whose parents I’m caring for who are on Mass Health. It’s government funded health insurance…using our tax dollars!",Negative,negative
God bless Donald Trump,Very Positive,positive
Anyone seen john Malkovich lately? Hmm.,Neutral,neutral
"what else did you expect, garlands?",Neutral,negative
"Oh no,  they were restrained!!! Ach, what an inhuman tragedy :^)",Very Negative,negative
the days of coming to the U.S or Canada for that matter to become rich are long over and housing is so expensive to buy that even my G.P.. cannot afford to buy a house....,Very Positive,negative
I couldn’t use my iPhone 15 😂😂😂,Neutral,negative
"Good, the states has no clue what a cancer they are here in Canada, infested toronto and will not leave.",Very Negative,negative
Actually they should have been sent to Pakistan! That’s their true home is ! They actually are refugee in India too!,Very Positive,negative
50 Lac mein koi bhi acha business start kar sakta hain.,Neutral,neutral
When will this happen in Canada ?,Neutral,neutral
low-end population,Neutral,neutral
Adios last of the Mohican.,Neutral,neutral
"Shame on Modi and his government!!!! They are even mistreating our own Indians. We need strong leadership like china who can make india strong, not make india weak like present government.",Very Positive,negative
👍,Neutral,positive
God will always stand for its people,Positive,positive
There is a very serious problem in <b>Punjab and its culture of its people</b> . A very very serious problem.,Very Negative,negative
