Original Comment,Cleaned Comment,VADER Sentiment,Hugging Face Sentiment
"Trump Rally Shooting: A Timeline <a href=""https://www.youtube.com/watch?v=h-puuBzYoSs"">https://youtu.be/h-puuBzYoSs</a><br>Follow The Straits Times on YouTube: <a href=""https://str.sg/ytsub"">https://str.sg/ytsub</a>",trump rally shooting timeline hrefhttpswwwyoutubecomwatchvhpuubzyosshttpsyoutubehpuubzyossabrfollow straits times youtube hrefhttpsstrsgytsubhttpsstrsgytsuba,Neutral,NEGATIVE
"No one can ever convince me that this wasn’t planned. I paused and looked at single persons faces in the crowd. No one is yelling “man down, help someone’s shot over here” no one looks super panicked as if the person next to them is shot they get up and start chanting “USA” all happily. He’s was too nonchalant after getting up throwing his fist in the air how you know there isn’t more than one sniper why are you so quick to get up and be open again? And the videos of people pointing out the sniper and the police not doing anything like “yeah we know guys, just shut up this is apart of the script be quiet and let it happen” I believe everyone who they said “died” is a crisis actor. This was scripted",one ever convince wasnt planned paused looked single persons faces crowd one yelling man help someones shot one looks super panicked person next shot get start chanting usa happily hes nonchalant getting throwing fist air know isnt one sniper quick get open videos people pointing sniper police anything like yeah know guys shut apart script quiet let happen believe everyone said died crisis actor scripted,Positive,NEGATIVE
Trump is afraid of the people,trump afraid people,Neutral,NEGATIVE
How bad can that shooter aim?,bad shooter aim,Negative,NEGATIVE
BTC TO THE MOON 🚀,btc moon,Neutral,POSITIVE
Still gives me chills,still gives chills,Neutral,POSITIVE
That is terrifying,terrifying,Negative,NEGATIVE
So they tried to whack the guy just like jfk,tried whack guy like jfk,Positive,NEGATIVE
"Hospital said it was stage,he entered the hospital &amp; refused help",hospital said stagehe entered hospital amp refused help,Positive,NEGATIVE
We&#39;re living through literal history right now. Love him or hate him. This was a pure signal of patriotism.,living literal history right love hate pure signal patriotism,Positive,POSITIVE
Mr.President Donald trump God protect you always ..❤❤❤,mrpresident donald trump god protect always,Positive,POSITIVE
funny how people don&#39;t understand it was his order and nothing gonna bring me over,funny people dont understand order nothing gon na bring,Positive,POSITIVE
"Greatest president of all of our lifetimes. They tried to smear him, they tried to frame him for a government created insurrection, they tried to bankrupt and disrupt his campaign via lawfare and they had the backing of all our corrupted social institutions, organizations, and foreign governments and he still won. They tried to brainwash the public and destroyed the trust in out media. We will never have another president like him again and I hope he can create some serious change in the face of the neoconservative uniparty.",greatest president lifetimes tried smear tried frame government created insurrection tried bankrupt disrupt campaign via lawfare backing corrupted social institutions organizations foreign governments still tried brainwash public destroyed trust media never another president like hope create serious change face neoconservative uniparty,Positive,NEGATIVE
This is fake,fake,Negative,NEGATIVE
Proud of Americans who voted for him. I wish we had a leader like him!,proud americans voted wish leader like,Positive,POSITIVE
If you think this is real i feel bad for you,think real feel bad,Negative,NEGATIVE
BRF. I don&#39;t want conflict smart guys,brf dont want conflict smart guys,Negative,NEGATIVE
My dog!!,dog,Neutral,POSITIVE
Makes me cry😢,makes cry,Negative,NEGATIVE
The moment the election was decided,moment election decided,Neutral,POSITIVE
Trump is thr 1st black president,trump thr st black president,Neutral,NEGATIVE
Most significant security failure by the secret service.,significant security failure secret service,Negative,NEGATIVE
Trump did that man seized the moment 100000+aura,trump man seized moment aura,Neutral,POSITIVE
That photo won him the election.,photo election,Neutral,NEGATIVE
"How many politicians do you know wouldve said “fight fight fight” to have the presence of mind through a terrifying ordeal, that’s a leader that’s why he won",many politicians know wouldve said fight fight fight presence mind terrifying ordeal thats leader thats,Negative,NEGATIVE
The Boss,boss,Neutral,POSITIVE
Almost......Almost 😢,almostalmost,Neutral,POSITIVE
Already 5 months ago... 😮,already months ago,Neutral,NEGATIVE
fight. fight. fight.,fight fight fight,Negative,POSITIVE
"Sometimes, WE REALLY NEED TO TAKE OUR OWN LESSON SERIOUSLY &quot;..",sometimes really need take lesson seriously quot,Negative,NEGATIVE
BAD ASS ! Trump !,bad ass trump,Negative,NEGATIVE
Isnt that the guy from fornite,isnt guy fornite,Neutral,NEGATIVE
This is america,america,Neutral,POSITIVE
"As an British, i felt bad.",british felt bad,Negative,NEGATIVE
For someone reason it feels like it was staged like all of this is fake,someone reason feels like staged like fake,Positive,NEGATIVE
360,,Neutral,Neutral
you want someone strong to be president. thats why people voted for him.. and his supporters didnt run.. they stood their ground,want someone strong president thats people voted supporters didnt run stood ground,Positive,NEGATIVE
Greatest president of our generation!  No doubts about it!  President Trump 🎉,greatest president generation doubts president trump,Positive,POSITIVE
